address,postcode,latitude,longitude,restaurant_count,restaurant_rating,restaurant_price,arts_count,grocery_count,walk,transit,bike
179 Aidan Ct,15226,40.381554,-80.011,15,3.5,1.384615385,1,1,76,69,42
627 Oxford Blvd,15243,40.3678,-80.07503,2,3.75,1,1,0,13,27,13
382 Ambard Ave,15202,40.504215,-80.04774,21,3.95,1.363636364,4,2,21,34,
4131 Tuxey Ave,15227,40.362812,-79.97881,30,3.7,1.266666667,3,2,57,42,
3116 Villawood Ave,15227,40.38072,-79.96987,22,4,1.25,0,1,76,69,42
305-307 Lancers Way,15237,40.558483,-80.042694,8,3.875,1.142857143,2,1,29,0,15
138 Rossmor Ct,15229,40.51041,-80.039276,13,3.346153846,1.384615385,1,2,10,37,
7025 Bennington Woods Dr,15237,40.554783,-79.999626,5,3.2,2,0,0,76,69,53
114 Buehner Dr,15237,40.537548,-80.018616,23,2.95,1.388888889,5,1,46,30,
20 48th St,15201,40.47607,-79.95836,58,3.9,1.684210526,20,4,83,46,68
1439 Nixon St,15233,40.45909,-80.02951,11,3.5,1.333333333,5,1,59,48,75
114 Tree Line Ct,15237,40.524323,-80.07939,0,0,0,0,3,15,28,14
5241 Stanton Ave,15201,40.478367,-79.94934,14,3.964285714,1.7,20,2,64,41,37
5712 Wellesley Ave,15206,40.473312,-79.922905,18,3.611111111,1.666666667,7,3,76,69,53
5627 Wilkins Ave,15217,40.44427,-79.92677,83,3.925,1.473684211,14,5,68,56,52
160 Warwick Dr,15241,40.34735,-80.06668,2,3.75,2,1,1,24,36,8
126 Cobblestone Dr,15237,40.53989,-80.08762,1,3.5,2,0,0,0,0,
5354 Cox Ave,15207,40.370403,-79.91841,3,4,1.5,2,1,16,30,6
541 Marie Ave,15202,40.503098,-80.06951,20,3.875,1.461538462,5,1,69,38,
51 N Bryant Ave,15202,40.494106,-80.04921,27,3.625,1.333333333,4,3,70,40,48
255 Church Rd,15241,40.33805,-80.046875,28,2.875,1.684210526,1,3,55,52,21
171 Shadow Ridge Dr,15238,40.526722,-79.85365,0,0,0,1,0,7,0,
304 Bigham St,15211,40.432846,-80.015434,21,3.55,1.9,18,4,69,69,45
1213 Vinemont St,15205,40.433147,-80.04664,23,3.075,1.125,2,2,76,69,42
1416 Evergreen Ave,15209,40.496807,-79.97636,7,3.857142857,2,0,1,45,21,41
334 Benson Cir,15227,40.364307,-79.95954,1,1,0,0,0,19,26,
501 Cherry Ct,15237,40.5444,-80.021484,28,3.175,1.6,6,3,52,33,27
906 Gladys Ave,15216,40.421234,-80.02383,9,3.722222222,1.5,0,2,14,51,10
774 Country Club Dr,15228,40.37953,-80.028244,11,3.590909091,1.5,0,1,28,36,
11316 Frankstown Rd,15235,40.466927,-79.833626,17,3.294117647,1.25,1,2,57,31,
2831 Wenger St,15227,40.392197,-79.97157,10,3.5,1.166666667,0,1,30,35,21
258 The Pines Dr,15243,40.37077,-80.0885,8,3.5625,1.875,1,0,31,35,7
1807 Worcester Dr,15243,40.367886,-80.08151,3,4.166666667,1.666666667,0,0,23,26,8
227 Seegar Rd,15241,40.351616,-80.07294,2,3,2,0,0,14,0,
488 Seavey Rd,15209,40.497032,-79.96098,9,4.388888889,2,0,0,27,0,
2160 Greentree Rd #800W,15220,40.39235,-80.07122,16,3.5,2,0,2,61,32,9
5427 Kentucky Ave,15232,40.44958,-79.93363,75,3.9,1.8125,19,9,92,70,49
3289 Dawson St #3,15213,40.432655,-79.9538,87,3.725,1.4,18,3,78,63,78
23 S 18th St,15203,40.431053,-79.980095,80,3.5,1.526315789,20,5,91,71,94
409 W Hutchinson Ave,15218,40.433254,-79.892456,28,3.575,1.444444444,6,5,78,52,80
500 Fairview Rd,15238,40.540646,-79.88731,0,0,0,0,0,2,0,
416 Fox Dr,15237,40.519638,-79.99965,25,3.15,1.625,1,1,40,31,
2250 Mary St #208,15203,40.42546,-79.97412,68,3.675,1.789473684,20,4,92,58,95
749 Florida Ave,15228,40.378517,-80.04671,36,3.925,1.764705882,5,0,76,69,42
209 Crescent Garden Dr,15235,40.471256,-79.80622,1,2.5,1,0,0,7,25,
429 South Ave,15221,40.44342,-79.88891,31,3.825,1.5,8,4,81,63,
121 Teton Dr,15239,40.450703,-79.70655,12,3,1.5,0,2,35,20,18
483 Olive St,15237,40.573708,-80.0453,7,3.357142857,1.2,3,2,12,0,4
8918 Oneida Ave,15237,40.56777,-80.048096,1,4.5,1,2,0,6,0,
1030 Anderson Rd,15209,40.50456,-79.97548,3,3.5,1.333333333,0,1,12,8,
333 S Home Ave,15202,40.498215,-80.062355,33,3.225,1.235294118,4,2,78,40,
801 Sebring Ave,15216,40.412884,-80.02312,14,4,1.3,0,1,51,55,28
300 57th St,15201,40.48291,-79.94428,3,4.333333333,1.5,4,2,53,40,31
710 Robin Dr,15220,40.395008,-80.07586,17,3.441176471,1.857142857,0,2,56,34,25
144 45th St,15201,40.47326,-79.961235,62,3.825,1.578947368,20,4,79,50,96
4006 Murray Ave,15217,40.426052,-79.928085,57,3.7,1.533333333,4,7,82,51,63
3431 Evergreen Rd,15237,40.53994,-80.02386,22,3.175,1.5625,6,3,48,30,
5 Wellington Woods Dr,15229,40.526024,-80.03527,12,3.125,1.333333333,1,2,54,33,
2103 Hazeltine Way,15218,40.418396,-79.88738,30,3.3,1.352941176,4,2,74,50,
38 Greenlee Rd,15227,40.380646,-79.97756,28,3.9,1.166666667,0,2,73,41,25
210 Natchez St,15211,40.429325,-80.00984,79,3.625,1.55,13,4,75,73,39
1118 Freyburg St,15203,40.42647,-79.98671,62,3.85,1.789473684,20,4,82,65,65
1024 Evergreen Dr,15235,40.454323,-79.810646,0,0,0,0,0,5,19,
5302 Holmes St,15201,40.480453,-79.9499,13,4,1.727272727,11,2,64,39,34
1031 Firwood Dr,15243,40.37541,-80.067024,1,4,1,1,0,29,33,
442 N School St,15202,40.502224,-80.06629,26,3.525,1.333333333,5,2,63,38,
5840 Douglas St,15217,40.432808,-79.921486,64,3.9,1.529411765,5,8,91,50,65
1204 Star Ridge Dr,15241,40.340492,-80.10434,2,3.75,2,0,0,7,23,8
3534 Frazier St,15213,40.43078,-79.9558,78,3.725,1.466666667,10,4,72,63,83
1427 Adams St,15233,40.458237,-80.02871,15,3.4,1.555555556,6,1,64,48,77
3061 Grassmere Ave,15216,40.396713,-80.041824,44,3.475,1.388888889,3,4,77,47,30
113 Spring Grove Rd,15235,40.47392,-79.823975,25,3.15,1.2,1,3,39,29,
1236 Clairhaven St,15205,40.43946,-80.05336,10,3.25,1.222222222,2,1,35,42,27
5210 Dearborn St,15224,40.465137,-79.93931,55,4,1.466666667,20,8,87,61,61
5270 Holmes St,15201,40.48022,-79.95029,15,4.033333333,1.615384615,12,2,66,41,41
1831 Fallowfield Ave,15216,40.406555,-80.023254,20,3.675,1.25,0,2,46,50,25
820 N Euclid Ave,15206,40.470886,-79.922424,40,3.75,1.705882353,12,6,70,52,90
144 N Dithridge St #808,15213,40.44795,-79.95084,142,3.4,1.705882353,20,6,90,71,79
1536 Colwell St #6,15219,40.438957,-79.984215,97,3.575,1.733333333,20,12,89,87,54
2085 Pioneer Ave,15226,40.400944,-80.01861,24,3.725,1.222222222,1,1,48,43,23
3327 Comanche Rd,15241,40.33665,-80.0646,7,3.285714286,1.666666667,2,1,20,49,12
5010 Friendship Ave,15224,40.46219,-79.94403,90,3.875,1.142857143,20,10,93,62,98
1443 Nixon St,15233,40.459057,-80.02965,12,3.458333333,1.428571429,5,1,76,69,42
3326 Delaware St,15214,40.48104,-80.01084,1,4.5,0,3,0,21,40,14
4107 Cloverlea St,15227,40.364746,-79.98043,33,3.575,1.3125,3,2,72,44,30
2117 Columbia Ave,15218,40.423626,-79.88221,32,3.2,1.352941176,5,3,75,51,42
6307 Caton St,15217,40.42405,-79.9236,32,3.45,1.470588235,3,7,76,69,42
625 Maplewood Ct,15237,40.5147,-79.989075,6,3.5,1.333333333,0,0,2,12,1
103 Jamestown Dr #B,15216,40.39314,-80.056114,15,3.266666667,1.615384615,2,4,53,38,
609 Arden Ln,15243,40.387432,-80.05558,19,3.394736842,1.625,6,2,66,43,
4405 Schenley Farms Ter,15213,40.45119,-79.9552,141,3.25,1.625,20,6,66,70,41
23 Watson Blvd,15214,40.478523,-80.010765,1,4.5,0,3,0,78,68,53
5118 Natrona Way,15201,40.477943,-79.95399,35,3.95,1.611111111,20,2,75,44,56
3109 Hebron Dr,15235,40.460262,-79.851364,0,0,0,0,0,31,33,27
612 Edgewood Rd,15221,40.425797,-79.86914,6,3.833333333,1.5,1,0,12,35,
2743 Philadelphia Ave,15216,40.401367,-80.037605,36,3.8,1.333333333,2,5,76,69,53
2297 Sidgefield Ln,15241,40.33843,-80.08585,2,3,1,1,0,2,0,
299 N Balph Ave,15202,40.50363,-80.050476,26,3.675,1.307692308,4,2,42,34,
818 Florence Ave,15202,40.498314,-80.06651,25,3.55,1.357142857,5,2,70,39,
148 Riding Trail Ln,15215,40.517258,-79.90106,0,0,0,1,0,2,0,
190 Mohawk Dr,15228,40.359188,-80.05176,23,3.475,1.846153846,2,3,63,21,24
435 Ruxton St,15211,40.425175,-79.99946,45,3.575,1.588235294,7,3,67,69,62
229 Princeton Ave,15229,40.51838,-80.04616,2,2.75,1.5,0,2,43,35,
347 Fisk St,15201,40.466236,-79.95725,74,3.45,1.5,20,5,89,59,69
132 Kentzel Rd,15237,40.530346,-80.01465,34,3.15,1.375,3,3,42,32,
260 Delano Dr,15236,40.332947,-79.95416,21,3.5,1.466666667,0,5,40,33,
3020 Mount Troy Rd,15212,40.47903,-79.98649,2,4,1,4,0,76,69,42
3408 California Ave,15212,40.476772,-80.039795,12,3.375,1.25,0,2,76,69,42
301 Sprucewood St,15210,40.39912,-79.983246,13,3,1.111111111,0,1,56,42,18
510 Lucy Dr,15236,40.341843,-80.000565,4,3.875,1.333333333,4,0,16,18,
1311 Sandusky St,15212,40.457344,-80.00523,51,3.925,1.625,20,2,83,55,36
173 36th St,15201,40.466015,-79.966255,44,3.9,1.941176471,20,3,90,61,73
138 Universal Rd,15235,40.466007,-79.82344,21,3.025,1.2,1,2,60,29,30
1304 Decatur St,15233,40.45579,-80.02547,24,3.275,1.214285714,13,1,64,59,63
7127 Card Ln,15208,40.44899,-79.903404,9,4.388888889,1.428571429,6,1,65,60,70
3915 Lawnview Ave,15227,40.36882,-79.97787,33,3.525,1.266666667,3,2,72,42,
2043 Brookfield Rd,15243,40.366505,-80.09002,4,4.125,2,1,0,22,34,
2467 Broadlawn Dr,15241,40.324425,-80.079956,6,4.416666667,2,1,0,8,0,3
311 Service Way,15201,40.469765,-79.956535,81,3.75,1.555555556,20,5,85,52,73
1658 Potomac Ave,15216,40.398792,-80.03749,37,3.775,1.352941176,2,4,57,45,18
524 Baldwin Rd,15207,40.385376,-79.932976,1,2,0,1,0,2,31,1
109 Westwood St,15211,40.42259,-80.00575,30,3.6,1.555555556,1,3,26,45,44
4761 Meadowgreen Dr,15236,40.35364,-79.99788,13,3.192307692,1.5,2,2,39,26,17
118 E Littlewood St,15223,40.51671,-79.95722,9,3.222222222,1,0,2,50,25,36
1810 Baldauf St,15203,40.42333,-79.98178,68,3.8,1.578947368,18,3,84,58,31
408 Sabbath Dr,15236,40.339546,-79.970985,14,3.535714286,1.428571429,1,1,55,41,
226 Fisk St,15201,40.46845,-79.9609,61,3.725,1.631578947,20,6,86,52,82
537 N Neville St #5B,15213,40.44924,-79.9474,99,3.525,1.733333333,20,9,88,71,77
129 Varney St,15202,40.496384,-80.048294,25,3.65,1.307692308,4,3,65,41,35
1808 Baldauf St,15203,40.423386,-79.98177,67,3.8,1.578947368,18,3,50,51,19
545 Peebles St,15221,40.43992,-79.89432,18,3.694444444,1.4375,8,4,65,61,70
1074 Brinton Rd,15221,40.42698,-79.872734,4,3.625,1.333333333,2,3,28,39,20
1559 W Ingomar Rd,15237,40.58415,-80.07864,1,3.5,2,0,0,10,0,
942 Roland Rd,15221,40.427517,-79.83849,5,3,1.2,1,1,37,22,16
178 High St,15223,40.500668,-79.94854,25,3.7,1.461538462,1,3,45,36,32
367 Walnut St,15238,40.495113,-79.86103,23,3.825,1.545454545,2,0,40,40,
4735 Carlyn Dr,15236,40.354336,-79.98943,12,3.666666667,1.444444444,5,4,23,41,11
266 Streets Run Rd,15236,40.345467,-79.98307,10,3.65,1.375,3,1,30,38,
1240 Pennsylvania Ave,15233,40.45471,-80.02417,29,3.35,1.3125,18,0,73,62,78
4822 Rolling Hills Rd,15236,40.35523,-79.99568,13,3.192307692,1.5,3,2,76,69,42
2611 Stella St,15203,40.42315,-79.96969,47,3.675,1.526315789,14,3,83,48,32
160 Lambeth Dr,15241,40.3248,-80.07008,1,3.5,2,1,1,17,0,20
525 Springdale Dr,15235,40.47181,-79.82136,22,3.125,1.2,1,3,38,28,
1002 Willow Dr,15237,40.536667,-80.03293,9,3.222222222,1.428571429,1,1,34,13,
150 Waverly Ave #4,15229,40.517532,-80.034935,14,3.321428571,1.357142857,1,2,64,68,
1441 Benton Ave,15212,40.48405,-80.038574,12,3.291666667,1.375,0,1,76,69,53
113 Theresa Dr,15215,40.511433,-79.939476,6,3.083333333,1.2,1,3,15,19,5
223 40th St,15201,40.46829,-79.96131,60,3.775,1.684210526,20,6,92,51,71
23 Ridge Rd,15221,40.42005,-79.859886,8,3.6875,1.571428571,0,3,33,35,
1012-1014 High St,15212,40.46013,-79.99409,29,3.7,1.666666667,20,9,74,51,68
5301 Ranchview Dr,15236,40.339607,-79.988716,8,3.25,1.25,2,1,32,27,
657 Robinwood Dr,15216,40.392765,-80.05567,18,3.333333333,1.6,2,4,52,40,
258 Dutch Ln,15236,40.326523,-79.9622,8,4,2,0,1,29,19,
1001 Mallissee Rd,15239,40.48799,-79.73581,3,3.5,1.5,0,0,0,0,
2055 Holiday Park Dr,15239,40.476357,-79.70413,2,3.5,1.5,0,0,27,21,
1479 Hass St,15204,40.455864,-80.0725,11,4.5,2,0,0,76,69,42
102 Eads St,15210,40.412647,-79.96835,2,4.5,2,1,0,10,33,12
440 Almar Dr,15237,40.578857,-80.04703,4,3.25,1.666666667,2,2,16,21,7
409 Toura Dr,15236,40.317528,-79.944244,8,3.375,1.5,0,2,8,32,3
145 Mayfair Dr,15228,40.369743,-80.054886,1,4.5,2,3,0,28,27,
1907 Saint Paul St,15203,40.422016,-79.98097,70,3.775,1.55,19,3,68,51,61
5130 Janie Dr,15227,40.35422,-79.96799,9,3.222222222,1.375,1,0,16,37,
222 Goldsmith Rd,15237,40.52291,-79.9934,7,3.428571429,1.714285714,0,0,18,27,8
291 Olympic Rd,15236,40.33921,-79.99385,7,3.214285714,1.5,3,1,13,23,16
461 Taylor St,15224,40.45976,-79.95296,99,3.975,1.684210526,20,6,88,62,58
203 Gass Rd,15229,40.526726,-80.054665,3,3.833333333,1.333333333,0,1,5,19,
305 Greenway Dr,15235,40.462574,-79.81477,4,2.875,1,1,2,23,25,9
419 Glaids Dr,15243,40.368736,-80.062874,3,3.333333333,1.666666667,1,0,22,27,7
7122 Grand Ave,15225,40.516373,-80.14536,3,3.666666667,1.666666667,0,0,27,26,45
226 Jucunda St,15210,40.41707,-79.992386,29,3.6,1.470588235,8,2,74,54,34
1218 Biltmore Ave,15216,40.389477,-80.03832,52,3.55,1.533333333,7,4,76,48,
211 Rockingham Rd,15238,40.495888,-79.88011,21,3.475,1.625,2,1,16,39,14
4131 Highgrove Rd,15236,40.355316,-80.01317,10,3.8,1.166666667,0,2,30,15,
3125 Hebron Dr,15235,40.460762,-79.85108,0,0,0,0,0,26,32,
117 Duane Dr N,15239,40.46885,-79.70526,8,3.375,1.285714286,0,1,48,21,17
357 Orchard Spring Rd,15220,40.39464,-80.06958,18,3.333333333,1.866666667,0,2,25,32,
636 Fort Couch Rd,15241,40.358192,-80.068634,2,3,2,0,0,20,20,
632 Park Pl,15237,40.529434,-80.00198,22,3.1,1.6,1,2,47,32,33
457 Jenne Dr,15236,40.346577,-79.99939,8,3.375,1.285714286,2,2,30,22,32
1252 Gallupe Dr,15226,40.394398,-80.00975,11,3.727272727,1.333333333,1,1,47,47,18
300 Woodbridge Dr,15237,40.516113,-79.99034,6,3.5,1.333333333,0,0,4,12,2
1622 Leolyn St,15210,40.399445,-79.98659,13,3,1.111111111,0,1,71,51,44
2329 Birtley Ave,15226,40.398895,-80.01822,22,3.625,1.235294118,1,1,56,39,26
5602 Camelia St,15201,40.481766,-79.94344,3,4.333333333,1.5,4,2,55,40,31
1326 Wareman Ave,15226,40.389736,-80.01203,13,3.576923077,1.272727273,1,1,36,50,23
1412 Belasco Ave,15216,40.413654,-80.02788,12,3.875,1.333333333,0,2,42,48,24
626 Barclay Ave,15221,40.419174,-79.841644,21,3.5,1.5,0,2,50,31,
2443 Woodstock Ave,15218,40.416843,-79.8799,25,3.725,1.428571429,2,2,56,52,26
122 Village Ct,15241,40.32668,-80.07951,6,4.416666667,2,1,0,12,0,
165 Maryal Dr,15236,40.35338,-79.986046,10,3.75,1.285714286,5,2,15,42,4
177 Cooper Run Ct,15237,40.58467,-80.050446,2,3.25,2,1,2,33,21,8
1145 Firwood Dr,15243,40.371613,-80.06614,3,3.333333333,1.666666667,1,0,27,29,
321 Highland Pines Dr,15237,40.547787,-80.04539,6,4,1.4,0,1,21,0,
300 4th Ave #1602,15222,40.439133,-80.001114,269,3.925,1.466666667,20,5,98,100,82
18 Chapel Dr,15237,40.547947,-80.02565,19,3.368421053,1.714285714,5,3,49,32,
824 Carriage Cir,15205,40.428276,-80.0986,2,3.75,1.5,2,0,26,11,
51 Briggs St,15234,40.385895,-79.999306,7,3.071428571,1.166666667,0,0,36,53,16
1139 Algonquin Dr,15205,40.43917,-80.13383,6,3.75,1.8,3,0,7,24,3
2705 Sarah St,15203,40.426292,-79.967094,38,3.625,1.684210526,12,3,89,61,73
466 Carnegie Dr,15243,40.38132,-80.05482,15,3.266666667,1.615384615,6,1,60,44,
252 Avenue A,15221,40.41397,-79.84455,18,3.611111111,1.666666667,0,3,65,33,
31 Minooka St,15210,40.403885,-79.99164,17,3.147058824,1.166666667,0,1,62,54,22
1609 Belhurst Ave,15204,40.457336,-80.07708,1,4,1,0,0,24,33,52
127 Kaplan Ave,15227,40.37893,-79.980774,32,3.65,1.142857143,1,2,64,45,37
9880 Bellcrest Rd,15237,40.587147,-80.051414,3,3.166666667,2,1,2,15,28,14
4151 Winterburn Ave,15207,40.423714,-79.939514,5,3.2,1.25,1,3,68,45,40
455 Balconade Dr,15236,40.344173,-79.97432,13,3.5,1.461538462,2,1,50,42,19
4034 Cloverlea St,15227,40.366104,-79.97918,33,3.575,1.3125,3,2,73,42,
3073 Texas Ave,15216,40.39098,-80.03751,51,3.5,1.533333333,7,4,79,48,30
445 Kennedy Ave,15214,40.47389,-80.017006,0,0,0,3,1,17,44,20
1749 Harcor Dr,15226,40.384792,-80.00774,6,3.166666667,1.4,1,1,35,48,13
1567 Duncan Dr,15237,40.578873,-80.07561,1,3.5,2,0,0,9,0,3
525 Freeport Rd,15238,40.496967,-79.85658,21,4,1.7,1,1,42,31,
5406 Hobart St,15217,40.431847,-79.93206,27,3.725,1.470588235,8,6,64,50,65
2398 Palm Beach Ave,15216,40.39993,-80.026306,36,3.7,1.277777778,2,3,76,69,53
1280 Sky Ridge Dr,15241,40.33791,-80.10239,1,4,2,0,0,5,19,2
1831 Greentree Rd,15220,40.397346,-80.06542,19,3.184210526,1.75,0,2,53,31,
1356 Kinmount St,15205,40.433037,-80.0534,20,2.775,1.117647059,3,1,53,36,26
5049 Leona Dr,15227,40.355137,-79.96923,9,3.222222222,1.375,1,0,13,39,4
1415 Sheffield St,15233,40.45282,-80.02654,22,3.1,1.357142857,16,0,66,62,76
194 Plymouth St,15211,40.436268,-80.02138,19,3.210526316,2.357142857,18,2,57,62,36
106 Stirling Dr,15239,40.501118,-79.748314,2,3.75,1,0,0,3,0,7
643 Filmore Rd,15221,40.431725,-79.85153,4,3.625,1.333333333,0,0,14,23,13
419 Arcadia Dr,15237,40.578533,-80.03085,21,3.65,1.625,3,2,25,28,8
145 Mayer Dr,15237,40.549343,-80.04879,2,4.25,1,0,1,13,0,
5183 Stanton Ave,15201,40.477684,-79.951324,26,3.95,1.611111111,20,2,67,43,41
456 Cedarville St,15224,40.459194,-79.95136,95,3.7,1.529411765,20,6,89,62,91
2327 Meadow Dr,15235,40.44916,-79.855774,0,0,0,0,0,23,37,22
105 Deerfield Dr,15235,40.467163,-79.79951,0,0,0,0,0,17,19,14
112 Cardinal Cir,15237,40.547306,-80.09756,2,3.5,2,0,0,11,0,2
2927 Pyramid Ave,15227,40.383343,-79.97333,25,3.9,1.3,0,1,72,39,
15 Wedgewood Ln,15215,40.51378,-79.91246,0,0,0,0,0,4,0,3
689 Pine Valley Dr,15239,40.462406,-79.71815,3,2.833333333,1.333333333,0,1,20,18,
110 Mitchell Dr,15241,40.35449,-80.05459,33,3.25,1.8125,3,4,61,34,21
1635 Pembroke Dr,15243,40.36728,-80.07855,3,4.166666667,1.666666667,1,0,20,27,7
5017 Carolyn Dr,15236,40.348778,-79.99113,7,3.785714286,1.25,3,3,35,34,
240 Lynnwood Dr,15235,40.450344,-79.83673,3,3.5,1,0,0,13,29,5
2598 Merwyn Ave,15204,40.453117,-80.046326,3,4.666666667,1,0,0,19,44,7
1609 Carmella Dr,15227,40.364037,-79.96003,1,1,0,0,0,19,27,
5226 Willock Rd E,15236,40.35323,-79.96367,5,3,1.75,1,0,24,39,9
432 Burlington Rd,15221,40.423386,-79.866,6,3.833333333,1.5,0,2,35,38,
106 Susan Dr,15220,40.411617,-80.05207,8,2.75,2,0,1,23,32,19
1500 Cochran Rd #403,15243,40.391647,-80.05719,16,3.28125,1.666666667,2,2,63,36,23
9108 Maple St,15239,40.50079,-79.724915,0,0,0,0,0,9,0,
404 Lexington Ave #5,15215,40.49231,-79.89747,29,3.35,1.5625,1,4,71,39,36
9369 Doral Dr,15237,40.57671,-80.04755,4,3.25,1.666666667,2,2,7,0,6
134 Chesterfield Rd,15213,40.440025,-79.96232,82,3.65,1.214285714,17,5,93,71,50
248 Mansion St,15207,40.40406,-79.93955,4,3.875,2,1,2,42,31,24
558 Dorseyville Rd,15238,40.53147,-79.91351,1,3.5,3,0,0,13,0,7
302 Hillwood Rd,15209,40.502216,-79.96755,2,3.75,1.5,0,1,11,17,23
916 Prospect Rd,15227,40.3597,-79.97983,17,3.529411765,1.2,4,2,60,44,23
316 Institute St,15210,40.406963,-80.001816,0,0,0,0,1,11,62,7
114 Douglas Dr,15215,40.514957,-79.924095,0,0,0,0,0,7,0,
201 W Hutchinson Ave,15218,40.434296,-79.89,36,3.55,1.5,6,6,72,54,52
304 Avenue F,15221,40.414215,-79.842125,20,3.525,1.571428571,0,1,48,41,21
3015 Churchview Ave,15227,40.386005,-79.970345,18,3.916666667,1.5,0,1,54,35,
2804 Clermont Ave,15227,40.383766,-79.97663,28,3.825,1.272727273,0,1,73,43,42
5 Summit St,15209,40.486633,-79.96276,20,4.2,1.769230769,9,1,22,37,21
501 Forest Ave,15202,40.499958,-80.05276,28,3.525,1.333333333,4,3,61,39,
232 Elizabeth Ave,15202,40.497536,-80.06498,28,3.35,1.294117647,4,2,70,40,35
70 Spring St,15223,40.50264,-79.95205,27,3.525,1.428571429,1,2,37,30,19
1900 Saint Paul St,15203,40.42167,-79.981285,71,3.8,1.55,19,3,68,51,61
18 W Manilla Ave,15220,40.418156,-80.04759,27,2.8,1.375,1,2,54,32,
1401 Terrace Dr,15228,40.35925,-80.04498,24,3.375,1.785714286,2,3,50,38,
96 S 11th St,15203,40.427567,-79.98772,74,3.8,1.736842105,20,4,83,70,95
319 Hamlet Ct,15227,40.385445,-79.96322,2,2.75,0,0,0,21,33,16
394 Park Ave,15221,40.417023,-79.867096,4,3.625,1.75,1,2,27,46,
145 Kensington Dr,15237,40.538353,-80.084984,0,0,0,0,0,1,0,1
3248 Ward St,15213,40.432106,-79.95494,84,3.7,1.4,17,4,78,63,85
1 Mason Rd,15235,40.463844,-79.877014,2,4.5,2,0,1,10,38,30
949 Fredericka Dr,15236,40.33351,-79.997604,0,0,0,3,0,7,16,
2800 Pyramid Ave,15227,40.38429,-79.97557,27,3.8,1.2,0,1,72,43,37
3214 Glendale Ave,15227,40.378326,-79.971016,22,4,1.25,0,2,43,39,
20 Walton Rd,15236,40.38872,-79.96311,2,2.75,0,0,0,21,31,18
401 Salvini Dr,15243,40.363937,-80.091675,4,4.125,2,1,1,11,34,
1236 Kirsopp Ave,15220,40.41202,-80.03865,18,3.527777778,1.647058824,0,3,21,40,15
1118 Rodgers St,15207,40.367764,-79.91661,3,4,1.5,2,1,20,34,13
1150 Cloverfield Dr,15227,40.396446,-79.96579,3,3.166666667,2,0,0,14,26,14
399 Boggs Ave,15211,40.424217,-80.00888,30,3.65,1.578947368,3,3,59,68,49
828 Monteiro St,15217,40.426777,-79.93491,12,3.458333333,1.125,3,5,66,46,49
3021 Glendale Ave,15227,40.381874,-79.97368,28,3.9,1.181818182,0,2,72,39,
2947 Stafford St,15204,40.457012,-80.051056,4,4,1.5,2,1,45,49,20
1918 Jacob St,15226,40.393986,-79.9998,5,3.4,1.2,0,1,35,57,20
3831 McClure Ave,15212,40.48525,-80.03743,12,3.25,1.375,0,1,76,69,53
200 Regina St,15209,40.500225,-79.965164,0,0,0,0,0,11,22,26
5195 Stanton Ave,15201,40.47769,-79.95093,22,3.925,1.5625,20,2,69,43,47
109 Cabin Ln,15238,40.516678,-79.86305,1,2.5,0,0,0,12,13,
3854 Greensburg Pike,15221,40.42861,-79.8476,13,3.807692308,1.555555556,0,2,14,28,
61 Windvale Dr,15236,40.352196,-80.003426,12,3.125,1.4,1,2,32,20,21
7416 Perrysville Ave,15202,40.510742,-80.086235,5,3.8,1.8,1,0,33,32,13
117 Kensington Dr,15237,40.53875,-80.086006,0,0,0,0,0,0,0,
316 Glaser Ave,15202,40.503487,-80.06024,33,3.25,1.235294118,4,2,57,39,18
634 Presque Isle Dr,15239,40.468643,-79.71178,8,3.375,1.285714286,0,1,35,20,
508 Highview Rd,15234,40.380104,-80.021675,6,3.25,1.4,1,2,21,32,
102 W Bruceton Rd,15236,40.331688,-79.96535,13,3.846153846,1.8,0,1,37,30,
387 Haugh Dr,15237,40.563164,-80.03249,10,3.75,1.444444444,4,1,18,26,
1222 Greenhill Rd,15209,40.509064,-79.98587,5,3.4,1.4,0,1,24,12,
440 Avenue D,15221,40.411083,-79.842545,18,3.611111111,1.666666667,0,3,47,41,19
4289 Glen Lytle Rd,15217,40.421417,-79.93812,7,3.214285714,1.333333333,0,4,57,43,38
1936 Warriors Rd,15205,40.429264,-80.047714,27,2.75,1.117647059,1,2,48,33,22
66 Macek Dr,15227,40.355976,-79.964096,2,2.25,2,1,0,26,34,9
401 Wimer Dr,15237,40.53009,-80.007286,31,3.1,1.571428571,2,3,47,32,19
629 Pikeview Dr,15239,40.483944,-79.7781,12,3.75,1.555555556,0,1,26,27,
147 Courtney Mill Rd,15229,40.520027,-80.052246,0,0,0,0,2,11,30,
140 Home St,15201,40.474728,-79.96034,61,3.875,1.65,20,4,83,48,70
945 Milton St,15218,40.434418,-79.896164,19,3.289473684,1.411764706,7,3,64,48,63
408 Cascade Rd,15221,40.42469,-79.8625,8,3.6875,1.5,0,2,38,33,20
212 Foxburg Dr,15205,40.440014,-80.10735,2,3.5,1,0,0,8,19,10
3307 Iowa St,15219,40.451935,-79.95727,122,3.225,1.8125,20,8,58,71,43
2235 Salisbury St,15210,40.419163,-79.97438,69,4,1.777777778,19,4,7,29,1
904 Lindenwood Dr,15234,40.372337,-80.01617,24,3.925,1.307692308,0,2,23,48,
