address,postcode,latitude,longitude,restaurant_count,restaurant_rating,restaurant_price,arts_count,grocery_count,walk,transit,bike
947 Saint Martin St,15203,40.422413,-79.989044,47,3.9,1.75,15,2,78,68,53
1922 Arlington Ave,15210,40.417587,-79.97972,70,3.75,1.555555556,16,3,60,49,48
930 W North Ave,15233,40.453526,-80.018265,33,3.525,1.352941176,20,1,50,68,67
13 Scobbo Dr,15209,40.506588,-79.97137,1,3.5,2,,1,7,0,
2520 Collins Rd,15235,40.449432,-79.84924,0,0,0,,,13,35,6
6367 Stanton Ave,15206,40.4692,-79.91451,24,3.775,1.647058824,7,4,48,49,63
132 Dauntless Dr,15235,40.460365,-79.83765,4,3,1,1,1,36,31,22
1759 Robson Dr,15241,40.35448,-80.08036,4,3.5,1.333333333,,,3,0,
5010 Glenwood Ave,15207,40.408943,-79.940445,4,3.875,2,1,2,49,36,24
403 Forest Ave,15202,40.498665,-80.05035,29,3.4,1.3125,3,3,68,39,34
3129 Villawood Ave,15227,40.380894,-79.96932,20,4,1.5,0,1,41,40,19
164 Arla Dr,15220,40.40797,-80.060074,5,3.3,1.25,0,0,13,32,20
401 Mohican Ave,15237,40.57112,-80.04535,4,4.25,1,2,1,20,0,13
554 Lee Avenue Ext,15237,40.55171,-80.04513,4,4.25,1.333333333,1,1,43,0,16
575 Miranda Rd,15241,40.354572,-80.06741,4,3.375,2,,1,16,19,6
3629 Fleming Ave,15212,40.481537,-80.03995,12,3.333333333,1.375,0,1,56,44,53
3653 Harbison Ave,15212,40.483177,-80.02839,9,3.555555556,1.333333333,2,0,30,41,34
716 Saint James St,15232,40.450985,-79.937386,61,3.8,1.8125,20,9,85,73,87
229 Brookside Blvd,15241,40.339005,-80.06138,17,2.941176471,1.666666667,1,2,32,52,
1505 Trinity St,15206,40.484734,-79.933754,22,4.175,1.666666667,0,2,41,42,29
152 Cherrington Dr,15237,40.536255,-79.9912,2,3.75,1.5,,,14,14,
