address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
1010 Chatham Park Dr,https://www.trulia.com/p/pa/pittsburgh/1010-chatham-park-dr-pittsburgh-pa-15216--2163178355,0,1,716,"['Last Sold: Jun 10, 2019', '']",0,0,0,0,0,Condo,,1973,3,Central,,,,,,1,Brick,Shingle (Not Wood),55000
3220 Beechwood Blvd,https://www.trulia.com/p/pa/pittsburgh/3220-beechwood-blvd-pittsburgh-pa-15217--2014149173,3,1,"1,386","['Last Sold: Jun 10, 2019', '2% below list $260K']",1,1,1,1,1,Single Family Home,"4,292 sqft",1920,7,Radiant,Gas,,Off Street,2,Colonial,2,Brick,Shake Shingle,255000
608 Calvert Ave,https://www.trulia.com/p/pa/pittsburgh/608-calvert-ave-pittsburgh-pa-15227--2014215609,2,1,962,"['Last Sold: Jun 10, 2019', '12% below list $89.5K']",0,0,0,0,0,Single Family Home,"7,011 sqft",1935,5,Other,,,,,Bungalow,1,Brick,Shake Shingle,80000
208 Foxhurst Dr,https://www.trulia.com/p/pa/pittsburgh/208-foxhurst-dr-pittsburgh-pa-15238--2014286628,4,3.5,"2,542","['Last Sold: Jun 10, 2019', '9% below list $495K']",0,0,0,0,0,Single Family Home,1.23 acres,1955,9,Other,,Central,Attached Garage,2,Colonial,2,Brick,Shake Shingle,452500
4791 Sherwood Dr,https://www.trulia.com/p/pa/pittsburgh/4791-sherwood-dr-pittsburgh-pa-15236--2014261439,3,1.5,"1,135","['Last Sold: Jun 10, 2019', '2% below list $209K']",0,0,0,0,0,Single Family Home,"9,108 sqft",1952,6,Other,,Central,Attached Garage,2,Ranch,1,Brick,Shake Shingle,205000
476 Huron Ave,https://www.trulia.com/p/pa/pittsburgh/476-huron-ave-pittsburgh-pa-15237--2014278366,4,2,"2,262","['Last Sold: Jun 10, 2019', '11% below list $289K']",1,1,1,1,1,Single Family Home,0.38 acres,1970,8,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,Brick Wood,Asphalt,260000
905 Settlers Ridge Rd,https://www.trulia.com/p/pa/pittsburgh/905-settlers-ridge-rd-pittsburgh-pa-15238--2014290233,3,3.5,"4,232","['Last Sold: Jun 10, 2019', '5% below list $1.13M']",1,1,0,0,1,Single Family Home,0.74 acres,2012,9,Forced Air,Gas,Central,Attached Garage,3,Colonial,2,Brick,Asphalt,1075000
428 Augusta St,https://www.trulia.com/p/pa/pittsburgh/428-augusta-st-pittsburgh-pa-15211--2014105060,2,1,"1,640","['Last Sold: Jun 10, 2019', '0% below list $185K']",1,1,1,1,1,Single Family Home,"2,000 sqft",1900,6,Forced Air,Gas,Central,Off Street,2,,,Vinyl,Shake Shingle,184500
279 Toura Dr,https://www.trulia.com/p/pa/pittsburgh/279-toura-dr-pittsburgh-pa-15236--2014258310,3,2.5,"2,109","['Last Sold: Jun 10, 2019', '2% over list $245K']",0,0,0,0,0,Single Family Home,"8,450 sqft",1965,7,Other,,Central,Attached Garage,2,Contemporary,2,Stone,Shake Shingle,251000
5323 Northumberland St,https://www.trulia.com/p/pa/pittsburgh/5323-northumberland-st-pittsburgh-pa-15217--2014150349,4,3,"3,042","['Last Sold: Jun 10, 2019', '24% below list $1.5M']",0,0,0,0,0,Townhouse,"3,545 sqft",1982,,Forced Air,Electric,Central,,,,,,,1213213
