address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
179 Aidan Ct,https://www.trulia.com/p/pa/pittsburgh/179-aidan-ct-pittsburgh-pa-15226--1116904578,3,2,1756,"['Last Sold: Nov 28, 2019', '3% below list $225K']",1,1,0,0,1,Townhouse,"4,684 sqft",2008,7,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,Vinyl,Asphalt,217500
627 Oxford Blvd,https://www.trulia.com/p/pa/pittsburgh/627-oxford-blvd-pittsburgh-pa-15243--2014310370,3,1,1232,"['Last Sold: Nov 27, 2019', '1% below list $200K']",0,0,0,0,0,Single Family Home,"9,000 sqft",1950,6,Other,,Central,Attached Garage,,Colonial,2,Brick,Shake Shingle,198000
382 Ambard Ave,https://www.trulia.com/p/pa/pittsburgh/382-ambard-ave-pittsburgh-pa-15202--2014040934,3,1,1708,"['Last Sold: Nov 27, 2019', '11% below list $199K']",0,0,1,1,1,Single Family Home,"5,000 sqft",1920,7,Other,Gas,,"Detached Garage, Off Street, On Street",2,Craftsman,2,Wood,Slate,179000
4131 Tuxey Ave,https://www.trulia.com/p/pa/pittsburgh/4131-tuxey-ave-pittsburgh-pa-15227--2014213547,3,1,1475,"['Last Sold: Nov 27, 2019', '18% below list $100K']",0,0,0,0,0,Single Family Home,"8,515 sqft",1940,6,Other,Gas,Wall,Attached Garage,,CapeCod,1,Brick,Shake Shingle,85000
3116 Villawood Ave,https://www.trulia.com/p/pa/pittsburgh/3116-villawood-ave-pittsburgh-pa-15227--2014210497,3,2,1387,"['Last Sold: Nov 26, 2019', '1% over list $129K']",0,0,0,0,0,Single Family Home,"4,316 sqft",1950,6,Other,,Central,Attached Garage,,CapeCod,,Brick,Shake Shingle,130600
305-307 Lancers Way,https://www.trulia.com/p/pa/pittsburgh/305-307-lancers-way-pittsburgh-pa-15237--2189445670,4,2,2456,"['Last Sold: Nov 26, 2019', '']",1,1,0,0,1,Multi Family,0.3 acres,1983,11,Other,Gas,Central,Attached Garage,3,,2,Brick Stone Vinyl,Asphalt,315000
138 Rossmor Ct,https://www.trulia.com/p/pa/pittsburgh/138-rossmor-ct-pittsburgh-pa-15229--2014224297,2,1,1037,"['Last Sold: Nov 26, 2019', '1% over list $145K']",1,0,1,1,1,Townhouse,"2,089 sqft",1988,6,Forced Air,Gas,Central,Attached Garage,1,Colonial,2,Brick Vinyl,Asphalt,147000
7025 Bennington Woods Dr,https://www.trulia.com/p/pa/pittsburgh/7025-bennington-woods-dr-pittsburgh-pa-15237--2014280186,4,2,2481,"['Last Sold: Nov 26, 2019', '4% below list $445K']",1,1,1,1,1,Single Family Home,0.5 acres,1991,8,Forced Air,Gas,Central,Attached Garage,,Colonial,2,Brick,Composition,428000
114 Buehner Dr,https://www.trulia.com/p/pa/pittsburgh/114-buehner-dr-pittsburgh-pa-15237--2014268750,3,1,1118,"['Last Sold: Nov 26, 2019', '7% below list $220K']",1,1,1,1,1,Single Family Home,0.28 acres,1950,7,Forced Air,Gas,Central,"Attached Garage, Off Street",3,CapeCod,1,Vinyl,Asphalt,205000
20 48th St,https://www.trulia.com/p/pa/pittsburgh/20-48th-st-pittsburgh-pa-15201--2014033019,4,2,2080,"['Last Sold: Nov 26, 2019', '']",0,0,0,0,0,Multi Family,"1,406 sqft",1890,7,Other,,,,,,3,Brick,Shake Shingle,280000
1439 Nixon St,https://www.trulia.com/p/pa/pittsburgh/1439-nixon-st-pittsburgh-pa-15233--2014231855,3,2,1694,"['Last Sold: Nov 26, 2019', '20% below list $59.9K']",0,0,0,0,0,Townhouse,"1,400 sqft",1877,6,Other,,,,,,2,Wood,Shake Shingle,50000
114 Tree Line Ct,https://www.trulia.com/p/pa/pittsburgh/114-tree-line-ct-pittsburgh-pa-15237--2014268816,3,3,2512,"['Last Sold: Nov 25, 2019', '0% over list $525K']",1,1,0,0,1,Single Family Home,2.57 acres,2002,10,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,Stone Vinyl,Composition,406000
5241 Stanton Ave,https://www.trulia.com/p/pa/pittsburgh/5241-stanton-ave-pittsburgh-pa-15201--2014036911,2,1,1368,"['Last Sold: Nov 25, 2019', '6% below list $365K']",1,1,0,0,1,Townhouse,"1,900 sqft",1900,6,Forced Air,Gas,Central,"On Street, Off Street",1,,3,Brick,Shake Shingle,344100
5712 Wellesley Ave,https://www.trulia.com/p/pa/pittsburgh/5712-wellesley-ave-pittsburgh-pa-15206--2014067157,5,2,2088,"['Last Sold: Nov 25, 2019', '6% below list $360K']",0,0,1,1,0,Single Family Home,"2,107 sqft",1905,8,Forced Air,,,Attached Garage,,,2,Brick,Shake Shingle,340000
5627 Wilkins Ave,https://www.trulia.com/p/pa/pittsburgh/5627-wilkins-ave-pittsburgh-pa-15217--2014151588,3,1,1216,"['Last Sold: Nov 25, 2019', '']",0,0,0,0,0,Single Family Home,,1933,,Central,,,,,,2,Brick,Shingle (Not Wood),504500
160 Warwick Dr,https://www.trulia.com/p/pa/pittsburgh/160-warwick-dr-pittsburgh-pa-15241--2014301295,3,3,2088,"['Last Sold: Nov 25, 2019', '5% below list $395K']",1,1,1,1,1,Single Family Home,0.3 acres,1961,8,Forced Air,Gas,Central,Attached Garage,,Ranch,1,Brick,Shake Shingle,375000
126 Cobblestone Dr,https://www.trulia.com/p/pa/pittsburgh/126-cobblestone-dr-pittsburgh-pa-15237--2014269846,3,2,1987,"['Last Sold: Nov 25, 2019', '0% below list $324K']",1,1,1,0,1,Townhouse,"5,253 sqft",2012,7,Forced Air,Gas,Central,Attached Garage,2,,2,Brick Vinyl,Shake Shingle,323000
5354 Cox Ave,https://www.trulia.com/p/pa/pittsburgh/5354-cox-ave-pittsburgh-pa-15207--2014076401,2,1,1206,"['Last Sold: Nov 22, 2019', '9% below list $125K']",1,1,1,1,1,Single Family Home,"6,440 sqft",1952,5,Other,,,Attached Garage,,CapeCod,1,Brick,Shake Shingle,115000
541 Marie Ave,https://www.trulia.com/p/pa/pittsburgh/541-marie-ave-pittsburgh-pa-15202--2014041817,3,1,1680,"['Last Sold: Nov 22, 2019', '11% over list $65K']",0,0,0,0,0,Single Family Home,"2,816 sqft",1902,6,Other,Gas,,,2,,2,Wood,Shake Shingle,73000
51 N Bryant Ave,https://www.trulia.com/p/pa/pittsburgh/51-n-bryant-ave-pittsburgh-pa-15202--2089352150,3,1,2236,"['Last Sold: Nov 22, 2019', '4% below list $156K']",0,0,0,0,0,Single Family Home,"7,024 sqft",1917,10,Other,,,,1,,2,,Shake Shingle,150000
255 Church Rd,https://www.trulia.com/p/pa/pittsburgh/255-church-rd-pittsburgh-pa-15241--2014304347,3,1,1684,"['Last Sold: Nov 22, 2019', '6% below list $175K']",0,0,0,0,0,Single Family Home,0.37 acres,1956,6,Other,,,Attached Garage,,,1,,Shake Shingle,165000
171 Shadow Ridge Dr,https://www.trulia.com/p/pa/pittsburgh/171-shadow-ridge-dr-pittsburgh-pa-15238--2014286254,3,3,2226,"['Last Sold: Nov 22, 2019', '10% below list $354K']",1,1,1,1,1,Townhouse,"5,719 sqft",1991,7,Forced Air,Gas,Central,Attached Garage,2,,2,Stone Stucco,Shake Shingle,321100
304 Bigham St,https://www.trulia.com/p/pa/pittsburgh/304-bigham-st-pittsburgh-pa-15211--2014103918,3,1,1280,"['Last Sold: Nov 22, 2019', '']",0,0,0,0,0,Single Family Home,"2,880 sqft",1933,,,,,,,,,,,220000
1213 Vinemont St,https://www.trulia.com/p/pa/pittsburgh/1213-vinemont-st-pittsburgh-pa-15205--2014052836,2,1,950,"['Last Sold: Nov 22, 2019', '5% over list $150K']",0,0,0,0,0,Single Family Home,"5,000 sqft",1955,5,Other,,,Attached Garage,,Ranch,1,Brick,Shake Shingle,157000
1416 Evergreen Ave,https://www.trulia.com/p/pa/pittsburgh/1416-evergreen-ave-pittsburgh-pa-15209--2014085042,3,1,1990,"['Last Sold: Nov 22, 2019', '1% below list $150K']",1,1,1,1,1,Single Family Home,"2,880 sqft",1930,6,Other,Gas,,Detached Garage,1,Victorian,3,Wood,Composition,148000
334 Benson Cir,https://www.trulia.com/p/pa/pittsburgh/334-benson-cir-pittsburgh-pa-15227--2014211622,3,1,1266,"['Last Sold: Nov 22, 2019', '']",1,1,0,0,1,Townhouse,"5,164 sqft",1978,6,Forced Air,Electric,Central,Attached Garage,1,,2,Brick,Asphalt,110000
501 Cherry Ct,https://www.trulia.com/p/pa/pittsburgh/501-cherry-ct-pittsburgh-pa-15237--1022839035,3,1,1344,"['Last Sold: Nov 22, 2019', '1% below list $170K']",0,0,0,0,0,Condo,"1,359 sqft",1979,6,Other,,Central,Attached Garage,1,,2,Brick,Shake Shingle,167250
906 Gladys Ave,https://www.trulia.com/p/pa/pittsburgh/906-gladys-ave-pittsburgh-pa-15216--2014145757,3,2,1775,"['Last Sold: Nov 22, 2019', '4% over list $220K']",0,0,0,0,0,Single Family Home,"5,360 sqft",1959,6,Other,,Central,Attached Garage,,CapeCod,,Brick,,230100
774 Country Club Dr,https://www.trulia.com/p/pa/pittsburgh/774-country-club-dr-pittsburgh-pa-15228--2014222021,3,2,1380,"['Last Sold: Nov 22, 2019', '4% below list $300K']",0,0,0,0,0,Single Family Home,"6,914 sqft",1940,,,,,,,,,,,288500
11316 Frankstown Rd,https://www.trulia.com/p/pa/pittsburgh/11316-frankstown-rd-pittsburgh-pa-15235--2014240025,3,1,1275,"['Last Sold: Nov 22, 2019', '2% below list $109K']",0,0,0,0,0,Single Family Home,"6,508 sqft",1965,6,Other,,,,,Colonial,2,,Shake Shingle,107270
2831 Wenger St,https://www.trulia.com/p/pa/pittsburgh/2831-wenger-st-pittsburgh-pa-15227--1117908844,3,1,1144,"['Last Sold: Nov 22, 2019', '5% below list $135K']",0,0,0,0,1,Single Family Home,"3,150 sqft",1962,6,Other,,,Attached Garage,1,Colonial,2,Brick,Shake Shingle,129000
258 The Pines Dr,https://www.trulia.com/p/pa/pittsburgh/258-the-pines-dr-pittsburgh-pa-15243--2014309094,3,2,1520,"['Last Sold: Nov 22, 2019', '2% below list $245K']",1,0,0,0,1,Townhouse,"9,148 sqft",1994,16,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,Brick Vinyl,Asphalt,239000
1807 Worcester Dr,https://www.trulia.com/p/pa/pittsburgh/1807-worcester-dr-pittsburgh-pa-15243--2014308601,2,1,1026,"['Last Sold: Nov 22, 2019', '1% over list $175K']",0,0,0,0,0,Single Family Home,"6,500 sqft",1960,5,Forced Air,Gas,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,176000
227 Seegar Rd,https://www.trulia.com/p/pa/pittsburgh/227-seegar-rd-pittsburgh-pa-15241--2014303112,2,1,1584,"['Last Sold: Nov 21, 2019', '2% over list $349K']",1,1,1,1,1,Single Family Home,0.79 acres,1951,7,Other,,Central,Off Street,4,Ranch,2,Wood,Metal,355000
488 Seavey Rd,https://www.trulia.com/p/pa/pittsburgh/488-seavey-rd-pittsburgh-pa-15209--2014087636,4,1,2104,"['Last Sold: Nov 21, 2019', '1% below list $365K']",0,0,0,0,0,Single Family Home,2.75 acres,1994,7,Other,,Central,,,Colonial,2,Brick,Shake Shingle,360000
2160 Greentree Rd #800W,https://www.trulia.com/p/pa/pittsburgh/2160-greentree-rd-800w-pittsburgh-pa-15220--2014171849,0,1,681,"['Last Sold: Nov 21, 2019', '32% over list $72K']",0,0,0,0,0,Condo,681 sqft,1968,3,Other,,Central,,,,1,Brick,Composition,106000
5427 Kentucky Ave,https://www.trulia.com/p/pa/pittsburgh/5427-kentucky-ave-pittsburgh-pa-15232--2014229251,2,2,2379,"['Last Sold: Nov 21, 2019', '6% below list $690K']",0,0,0,0,0,Single Family Home,"2,258 sqft",1898,8,Other,,Central,,,,3,Brick,Composition,650200
3289 Dawson St #3,https://www.trulia.com/p/pa/pittsburgh/3289-dawson-st-3-pittsburgh-pa-15213--2014121861,2,1,510,"['Last Sold: Nov 21, 2019', '1% over list $150K']",1,1,1,1,1,Condo,865 sqft,1985,4,Forced Air,Gas,Central,Off Street,1,Contemporary,1,Brick,,152000
23 S 18th St,https://www.trulia.com/p/pa/pittsburgh/23-s-18th-st-pittsburgh-pa-15203--2089353164,4,2,2352,"['Last Sold: Nov 21, 2019', '6% below list $549K']",1,1,1,1,1,Townhouse,"1,307 sqft",2008,8,Forced Air,Gas,Central,Attached Garage,2,Contemporary,3,Cement Concrete Wood,,520000
409 W Hutchinson Ave,https://www.trulia.com/p/pa/pittsburgh/409-w-hutchinson-ave-pittsburgh-pa-15218--1118666263,3,2,2293,"['Last Sold: Nov 21, 2019', '2% below list $579K']",1,1,0,1,1,Single Family Home,"4,159 sqft",1920,9,Forced Air,Gas,Central,Detached Garage,2,,2,Brick,Asphalt,569000
500 Fairview Rd,https://www.trulia.com/p/pa/pittsburgh/500-fairview-rd-pittsburgh-pa-15238--2014288827,3,3,2869,"['Last Sold: Nov 21, 2019', '4% below list $850K']",0,0,0,0,0,Single Family Home,2.92 acres,1960,7,Other,,Central,,2,Ranch,1,,Composition,815000
416 Fox Dr,https://www.trulia.com/p/pa/pittsburgh/416-fox-dr-pittsburgh-pa-15237--2014277828,3,2,1776,"['Last Sold: Nov 21, 2019', '5% below list $230K']",0,0,0,0,0,Single Family Home,0.25 acres,1956,5,Other,,Central,Attached Garage,,,1,,Shake Shingle,219750
2250 Mary St #208,https://www.trulia.com/p/pa/pittsburgh/2250-mary-st-208-pittsburgh-pa-15203--2014045577,0,2,1535,"['Last Sold: Nov 20, 2019', '4% below list $240K']",0,0,0,0,0,Condo,"1,254 sqft",1950,2,Other,,Central,,1,,1,Brick,Composition,230000
749 Florida Ave,https://www.trulia.com/p/pa/pittsburgh/749-florida-ave-pittsburgh-pa-15228--1005299099,3,1,1674,"['Last Sold: Nov 20, 2019', '8% over list $250K']",0,0,0,0,0,Single Family Home,"6,750 sqft",1920,6,Other,,Central,,,,2,Brick,,270825
209 Crescent Garden Dr,https://www.trulia.com/p/pa/pittsburgh/209-crescent-garden-dr-pittsburgh-pa-15235--2270428665,3,2,1538,"['Last Sold: Nov 20, 2019', '2% over list $149K']",0,0,0,0,0,Single Family Home,"7,974 sqft",1960,6,Other,,Central,Attached Garage,2,,1,Brick,Shake Shingle,152500
429 South Ave,https://www.trulia.com/p/pa/pittsburgh/429-south-ave-pittsburgh-pa-15221--1005647816,4,3,2159,"['Last Sold: Nov 19, 2019', '37% below list $200K']",0,0,0,0,1,Multi Family,"3,720 sqft",1900,,Forced Air,,,Detached Garage,2,,,,Asphalt,146000
121 Teton Dr,https://www.trulia.com/p/pa/pittsburgh/121-teton-dr-pittsburgh-pa-15239--2014291214,3,2,1322,"['Last Sold: Nov 19, 2019', '']",0,0,0,0,0,Single Family Home,0.26 acres,1969,5,Other,,Central,Attached Garage,,Ranch,1,Brick,Shake Shingle,155000
483 Olive St,https://www.trulia.com/p/pa/pittsburgh/483-olive-st-pittsburgh-pa-15237--2014278418,3,2,1954,"['Last Sold: Nov 19, 2019', '4% below list $319K']",1,1,0,0,1,Single Family Home,0.26 acres,1961,10,Other,Gas,Central,Attached Garage,,SplitLevel,1,Brick,Asphalt,306000
8918 Oneida Ave,https://www.trulia.com/p/pa/pittsburgh/8918-oneida-ave-pittsburgh-pa-15237--2014282547,4,2,1381,"['Last Sold: Nov 19, 2019', '']",0,0,0,0,0,Single Family Home,0.5 acres,1952,7,Other,,Central,,4,Ranch,1,Wood,Shake Shingle,249900
1030 Anderson Rd,https://www.trulia.com/p/pa/pittsburgh/1030-anderson-rd-pittsburgh-pa-15209--2014083544,3,1,1463,"['Last Sold: Nov 19, 2019', '4% below list $190K']",0,0,0,0,0,Single Family Home,0.69 acres,1927,6,Other,,,,,,1,Brick,Shake Shingle,182000
333 S Home Ave,https://www.trulia.com/p/pa/pittsburgh/333-s-home-ave-pittsburgh-pa-15202--2089351898,8,4,6440,"['Last Sold: Nov 18, 2019', '4% below list $395K']",0,0,0,0,0,Multi Family,"7,239 sqft",1927,16,Other,,,,,,2,Brick,Shake Shingle,380000
801 Sebring Ave,https://www.trulia.com/p/pa/pittsburgh/801-sebring-ave-pittsburgh-pa-15216--1119978503,2,1,1537,"['Last Sold: Nov 18, 2019', '']",1,1,1,0,1,Single Family Home,"2,070 sqft",1925,,Forced Air,,Central,"Attached Garage, Off Street Parking",,,,,,134200
300 57th St,https://www.trulia.com/p/pa/pittsburgh/300-57th-st-pittsburgh-pa-15201--2014033685,2,1,2035,"['Last Sold: Nov 18, 2019', '8% below list $215K']",0,0,0,0,0,Single Family Home,"4,240 sqft",1920,7,Other,Gas,Central,Attached Garage,1,,3,Vinyl,Shake Shingle,200000
710 Robin Dr,https://www.trulia.com/p/pa/pittsburgh/710-robin-dr-pittsburgh-pa-15220--2014174277,3,2,2409,"['Last Sold: Nov 18, 2019', '5% below list $300K']",0,0,0,0,0,Single Family Home,"7,579 sqft",1988,8,Other,,Central,Attached Garage,,Colonial,2,Wood,Shake Shingle,285000
144 45th St,https://www.trulia.com/p/pa/pittsburgh/144-45th-st-pittsburgh-pa-15201--2014032410,3,3,3392,"['Last Sold: Nov 18, 2019', '15% below list $585K']",1,0,0,0,1,Townhouse,"2,400 sqft",1880,,Forced Air,Gas,Central,Detached Garage,2,,3,Brick,,510000
4006 Murray Ave,https://www.trulia.com/p/pa/pittsburgh/4006-murray-ave-pittsburgh-pa-15217--1118600929,3,3,3290,"['Last Sold: Nov 17, 2019', '13% below list $395K']",0,0,0,0,0,Multi Family,"4,560 sqft",1903,10,Other,,,,3,,2,Brick,Shake Shingle,350000
3431 Evergreen Rd,https://www.trulia.com/p/pa/pittsburgh/3431-evergreen-rd-pittsburgh-pa-15237--2014277118,3,1,1224,"['Last Sold: Nov 15, 2019', '1% below list $215K']",1,1,1,1,1,Single Family Home,"7,635 sqft",1962,6,Forced Air,Gas,Central,Off Street,3,Ranch,2,Brick,Composition,212000
5 Wellington Woods Dr,https://www.trulia.com/p/pa/pittsburgh/5-wellington-woods-dr-pittsburgh-pa-15229--2014227525,2,2,2665,"['Last Sold: Nov 15, 2019', '5% below list $366K']",0,0,0,0,0,Single Family Home,"10,025 sqft",1989,5,Other,,Central,,,CapeCod,,Brick,Shake Shingle,350000
2103 Hazeltine Way,https://www.trulia.com/p/pa/pittsburgh/2103-hazeltine-way-pittsburgh-pa-15218--2014157507,3,2,1536,"['Last Sold: Nov 15, 2019', '6% below list $129K']",0,0,0,0,0,Townhouse,768 sqft,1922,5,Other,Gas,Central,,1,,2,Brick,Shake Shingle,122000
38 Greenlee Rd,https://www.trulia.com/p/pa/pittsburgh/38-greenlee-rd-pittsburgh-pa-15227--2014212867,2,1,1104,"['Last Sold: Nov 15, 2019', '']",0,0,0,0,0,Single Family Home,"3,234 sqft",1927,5,Forced Air,Gas,Central,Attached Garage,,Tudor,2,Brick,Slate,99000
210 Natchez St,https://www.trulia.com/p/pa/pittsburgh/210-natchez-st-pittsburgh-pa-15211--2014103029,2,1,2083,"['Last Sold: Nov 15, 2019', '17% over list $69.5K']",1,0,0,1,1,Single Family Home,"3,347 sqft",1890,,Other,Gas,None,,1,Colonial,2,Brick,Composition,84000
1118 Freyburg St,https://www.trulia.com/p/pa/pittsburgh/1118-freyburg-st-pittsburgh-pa-15203--2014044280,2,1,1336,"['Last Sold: Nov 15, 2019', '3% below list $150K']",0,0,0,0,0,Single Family Home,"1,400 sqft",1900,6,Other,,,,,,2,Brick,Shake Shingle,145000
1024 Evergreen Dr,https://www.trulia.com/p/pa/pittsburgh/1024-evergreen-dr-pittsburgh-pa-15235--1010193393,4,2,2504,"['Last Sold: Nov 15, 2019', '4% below list $185K']",0,0,0,0,0,Single Family Home,0.34 acres,1969,8,Other,,Central,Attached Garage,,Colonial,2,,Shake Shingle,177500
5302 Holmes St,https://www.trulia.com/p/pa/pittsburgh/5302-holmes-st-pittsburgh-pa-15201--2014037090,3,1,1460,"['Last Sold: Nov 15, 2019', '37% below list $200K']",0,0,0,0,0,Single Family Home,"2,000 sqft",1900,6,Forced Air,,,On Street,,,3,Vinyl,Shake Shingle,146000
1031 Firwood Dr,https://www.trulia.com/p/pa/pittsburgh/1031-firwood-dr-pittsburgh-pa-15243--1140194541,2,2,1216,"['Last Sold: Nov 15, 2019', '2% over list $310K']",1,1,1,1,1,Single Family Home,"10,000 sqft",1938,7,Other,Gas,Central,Detached Garage,,CapeCod,2,Brick,Composition,315000
442 N School St,https://www.trulia.com/p/pa/pittsburgh/442-n-school-st-pittsburgh-pa-15202--2089352087,3,1,1793,"['Last Sold: Nov 15, 2019', '4% over list $180K']",0,0,0,0,0,Single Family Home,"4,680 sqft",1920,6,Other,,Central,,2,,2,Wood,Shake Shingle,187320
5840 Douglas St,https://www.trulia.com/p/pa/pittsburgh/5840-douglas-st-pittsburgh-pa-15217--2014152435,4,2,2161,"['Last Sold: Nov 15, 2019', '10% below list $395K']",0,0,0,0,0,Single Family Home,"5,250 sqft",1906,8,Other,Gas,Central,,2,,2,Brick,Slate,360000
1204 Star Ridge Dr,https://www.trulia.com/p/pa/pittsburgh/1204-star-ridge-dr-pittsburgh-pa-15241--1142837978,3,2,2200,"['Last Sold: Nov 15, 2019', '10% below list $220K']",1,0,1,1,1,Single Family Home,0.38 acres,1962,7,Forced Air,Gas,Central,Attached Garage,,Colonial,2,Brick,Asphalt,200000
3534 Frazier St,https://www.trulia.com/p/pa/pittsburgh/3534-frazier-st-pittsburgh-pa-15213--2014122728,2,1,1728,"['Last Sold: Nov 14, 2019', '4% below list $200K']",0,0,0,0,0,Single Family Home,"2,500 sqft",1900,9,Forced Air,Gas,,,2,Colonial,,Brick,Composition,192500
1427 Adams St,https://www.trulia.com/p/pa/pittsburgh/1427-adams-st-pittsburgh-pa-15233--2014231780,3,1,1674,"['Last Sold: Nov 14, 2019', '7% below list $150K']",0,0,0,0,0,Single Family Home,"1,480 sqft",1925,7,Other,,,,,,2,Brick,Shake Shingle,140000
3061 Grassmere Ave,https://www.trulia.com/p/pa/pittsburgh/3061-grassmere-ave-pittsburgh-pa-15216--2014144136,4,2,1844,"['Last Sold: Nov 14, 2019', '0% over list $250K']",0,0,0,0,0,Single Family Home,"4,400 sqft",1930,8,Other,,,Attached Garage,,,2,Brick,Shake Shingle,250000
113 Spring Grove Rd,https://www.trulia.com/p/pa/pittsburgh/113-spring-grove-rd-pittsburgh-pa-15235--1137227036,3,1,1144,"['Last Sold: Nov 14, 2019', '38% below list $69K']",0,0,0,0,1,Single Family Home,"8,481 sqft",1940,6,Other,,,Attached Garage,,Colonial,2,Brick,Shake Shingle,50000
1236 Clairhaven St,https://www.trulia.com/p/pa/pittsburgh/1236-clairhaven-st-pittsburgh-pa-15205--1028339732,3,1,1753,"['Last Sold: Nov 14, 2019', '']",0,0,0,0,0,Single Family Home,"2,700 sqft",1915,6,Other,,,,,,2,,Shake Shingle,136500
5210 Dearborn St,https://www.trulia.com/p/pa/pittsburgh/5210-dearborn-st-pittsburgh-pa-15224--2014197815,2,1,1004,"['Last Sold: Nov 13, 2019', '11% below list $49K']",0,0,0,0,0,Townhouse,855 sqft,1900,4,Other,,,,,,2,Brick,Composition,44000
5270 Holmes St,https://www.trulia.com/p/pa/pittsburgh/5270-holmes-st-pittsburgh-pa-15201--2014037053,2,1,824,"['Last Sold: Nov 13, 2019', '0% below list $145K']",0,0,0,0,0,Townhouse,"1,300 sqft",1905,5,Forced Air,Gas,Central,,,,2,Brick,Composition,144530
1831 Fallowfield Ave,https://www.trulia.com/p/pa/pittsburgh/1831-fallowfield-ave-pittsburgh-pa-15216--2014141329,3,1,1293,"['Last Sold: Nov 13, 2019', '5% below list $135K']",0,0,0,0,0,Single Family Home,"4,560 sqft",1930,6,Other,,,,,CapeCod,,Brick,Shake Shingle,129000
820 N Euclid Ave,https://www.trulia.com/p/pa/pittsburgh/820-n-euclid-ave-pittsburgh-pa-15206--2089356309,5,3,3013,"['Last Sold: Nov 13, 2019', '2% over list $560K']",1,1,0,0,1,Single Family Home,"5,000 sqft",1895,9,Forced Air,Gas,Central,"Off Street, Detached Garage",2,,3,Brick,Asphalt,570000
144 N Dithridge St #808,https://www.trulia.com/p/pa/pittsburgh/144-n-dithridge-st-808-pittsburgh-pa-15213--2089359472,0,1,1192,"['Last Sold: Nov 13, 2019', '5% below list $150K']",0,0,0,0,0,Condo,"1,192 sqft",1940,,,,,,1,,,,,143500
1536 Colwell St #6,https://www.trulia.com/p/pa/pittsburgh/1536-colwell-st-6-pittsburgh-pa-15219--2014161658,0,1,1214,"['Last Sold: Nov 13, 2019', '8% below list $320K']",1,1,1,1,1,Condo,"1,201 sqft",1900,4,Forced Air,Gas,Central,Attached Garage,,,1,Cement Concrete,,297000
2085 Pioneer Ave,https://www.trulia.com/p/pa/pittsburgh/2085-pioneer-ave-pittsburgh-pa-15226--2014201485,2,1,1269,"['Last Sold: Nov 13, 2019', '4% below list $148K']",1,0,0,1,1,Single Family Home,"4,000 sqft",1950,,Other,Gas,Central,Attached Garage,,,,,,141750
3327 Comanche Rd,https://www.trulia.com/p/pa/pittsburgh/3327-comanche-rd-pittsburgh-pa-15241--1005663551,3,1,1573,"['Last Sold: Nov 12, 2019', '2% below list $220K']",1,1,0,0,1,Single Family Home,"9,066 sqft",1945,6,Forced Air,Gas,Central,Attached Garage,1,CapeCod,2,Brick,Composition,214900
5010 Friendship Ave,https://www.trulia.com/p/pa/pittsburgh/5010-friendship-ave-pittsburgh-pa-15224--2014197100,2,1,1428,"['Last Sold: Nov 12, 2019', '4% below list $280K']",0,0,0,0,0,Townhouse,"1,950 sqft",1925,6,Other,,,,,,2,Brick,Shake Shingle,270000
1443 Nixon St,https://www.trulia.com/p/pa/pittsburgh/1443-nixon-st-pittsburgh-pa-15233--2014231877,2,1,1748,"['Last Sold: Nov 12, 2019', '0% over list $190K']",0,0,0,0,0,Townhouse,"1,640 sqft",1877,5,Other,,,,2,,2,Brick,Shake Shingle,190000
3326 Delaware St,https://www.trulia.com/p/pa/pittsburgh/3326-delaware-st-pittsburgh-pa-15214--2014128651,3,1,1980,"['Last Sold: Nov 12, 2019', '11% over list $110K']",0,0,0,0,0,Single Family Home,"7,000 sqft",1920,7,Other,,,,2,,2,,Shake Shingle,124000
4107 Cloverlea St,https://www.trulia.com/p/pa/pittsburgh/4107-cloverlea-st-pittsburgh-pa-15227--1118682187,2,2,1178,"['Last Sold: Nov 12, 2019', '2% over list $135K']",1,0,0,0,1,Single Family Home,"7,574 sqft",1930,5,Forced Air,,Central,On Street,2,,2,Wood,Shake Shingle,138000
2117 Columbia Ave,https://www.trulia.com/p/pa/pittsburgh/2117-columbia-ave-pittsburgh-pa-15218--1117310543,2,1,914,"['Last Sold: Nov 12, 2019', '17% over list $74.9K']",0,0,0,0,0,Single Family Home,"3,121 sqft",1930,5,Other,,,,,Colonial,2,Brick,Shake Shingle,90000
6307 Caton St,https://www.trulia.com/p/pa/pittsburgh/6307-caton-st-pittsburgh-pa-15217--1006266379,3,2,1376,"['Last Sold: Nov 12, 2019', '0% over list $315K']",1,1,1,1,1,Single Family Home,"2,925 sqft",1930,6,Radiant,Gas,Wall,"On Street, Off Street",2,Colonial,2,Brick,Shake Shingle,315000
625 Maplewood Ct,https://www.trulia.com/p/pa/pittsburgh/625-maplewood-ct-pittsburgh-pa-15237--1119551868,2,1,1188,"['Last Sold: Nov 12, 2019', '3% below list $150K']",1,1,1,1,1,Condo,"1,155 sqft",1978,5,Forced Air,Electric,Central,Attached Garage,1,Colonial,2,Brick Wood,Asphalt,145000
